nome,partido,uf,MPV 582/2012,MPV 586/2012,MPV 586/2012,MPV 587/2012,MPV 589/2012,MPV 593/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 595/2012,MPV 597/2012,MPV 600/2012,MPV 601/2012,MPV 601/2012,MPV 602/2012,MPV 605/2013,MPV 608/2013,MPV 609/2013,MPV 609/2013,MPV 609/2013,MPV 613/2013,MPV 618/2013,MPV 619/2013,MPV 619/2013,MPV 619/2013,MPV 620/2013,MPV 621/2013,MPV 621/2013,MPV 621/2013,MPV 621/2013,MPV 621/2013,MPV 621/2013,MPV 621/2013,MPV 621/2013,MPV 625/2013,PDC 1055/2013,PDC 1351/2008,PDC 1361/2013,PDC 1361/2013,PDC 471/2011,PDC 549/2012,PDC 824/2013,PEC 111/2011,PEC 111/2011,PEC 190/2007,PEC 190/2007,PEC 190/2007,PEC 207/2012,PEC 207/2012,PEC 3/1999,PEC 346/2013,PEC 346/2013,PEC 349/2001,PEC 368/2009,PEC 368/2009,PEC 37/2011,PEC 544/2002,PEC 544/2002,PEC 544/2002,PEC 55/2011,PEC 55/2011,PEC 565/2006,PEC 565/2006,PEC 565/2006,PEC 90/2011,PEC 90/2011,PEC 90/2011,PL 323/2007,PL 323/2007,PL 3471/2012,PL 4470/2012,PL 4470/2012,PL 4470/2012,PL 4470/2012,PL 4470/2012,PL 4470/2012,PL 4470/2012,PL 4470/2012,PL 4529/2004,PL 4904/2012,PL 4904/2012,PL 6025/2005,PL 6053/2013,PL 6397/2013,PL 6397/2013,PL 6397/2013,PL 6397/2013,PL 6397/2013,PL 6397/2013,PL 6397/2013,PL 6397/2013,PL 708/2007,PL 7495/2006,PL 7663/2010,PL 7663/2010,PLN 24/2012,PLP 200/2012,PLP 200/2012,PLP 238/2013,PLP 238/2013,PLP 238/2013,PLP 238/2013,PLP 238/2013,PLP 238/2013,PLP 266/2013,PLP 266/2013,PLP 266/2013,PLP 277/2005,PLP 288/2013,PLP 288/2013,PLP 288/2013,PLP 416/2008,PLP 416/2008,PLP 416/2008,PLP 416/2008,PLP 416/2008,PLP 416/2008,PRC 178/2013,PRC 178/2013,PRC 178/2013,PRC 178/2013,PRC 178/2013,PRC 203/2013,REQ 5941/2012,REQ 6166/2012,REQ 6786/2013,REQ 6947/2013,REQ 7126/2013,REQ 7252/2013,REQ 7253/2013,REQ 7494/2013,REQ 7595/2013,REQ 7772/2013,REQ 7829/2013,REQ 7926/2013,REQ 7956/2013,REQ 8091/2013,REQ 8144/2013,REQ 8196/2013,REQ 8696/2013,REQ 8970/2013,REQ 9261/2013
Francisco Chagas,PT,SP,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,1,-1,0,-1,0,1,1,0,1,1,1,1,1,-1,-1,1,1,0,1,0,-1,-1,-1,1,1,1,0,0,-1,0,-1,1,-1,1,-1,-1,1,-1,0,0,-1,0,0,1,-1,-1,-1,0,0,0,0,1,-1,0,-1,-1,0,0,0,0,0,0,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,-1,1,1
Leomar Quintanilha,PMDB,TO,-1,0,-1,-1,-1,1,-1,0,-1,-1,1,1,1,1,1,0,0,1,-1,1,1,0,0,0,0,-1,-1,0,1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Fabio Reis,PMDB,SE,0,-1,0,1,-1,1,-1,0,-1,-1,1,1,1,1,1,0,-1,1,-1,0,0,-1,-1,1,1,0,0,1,1,-1,-1,1,-1,0,0,-1,0,0,-1,-1,0,-1,1,-1,-1,-1,1,-1,1,0,1,0,0,0,-1,0,0,-1,0,1,-1,1,0,1,1,1,-1,1,1,0,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,0,0,0,-1,-1,1,-1,1,-1,-1,1,-1,0,-1,-1,-1,-1,0,1,-1,0,1,1,0,-1,0,0,0,0,1,-1,1,0,1,-1,-1,0,0,0,1,1,1,1,1,-1,1,-1,-1,-1,-1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,-1,1,1,1,1,0
Luiz de Deus,DEM,BA,0,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,1,1,-1,0,0,0,0,0,1,-1,0,0,0,0,-1,1,-1,0,-1,1,-1,-1,1,1,0,0,0,0,0,-1,1,0,0,0,0,-1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,-1,-1,0,0,-1,-1,1,-1,1,-1,0,-1,1,0,-1,-1,-1,0,-1,1,-1,-1,1,-1,0,-1,-1,0,0,0,1,0,1,1,1,1,1,-1,0,1,1,1,-1,1,1,-1,-1,0,-1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,-1,1,-1,1,1,0
Alexandre Toledo,PSDB,AL,0,1,1,1,-1,1,-1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,-1,-1,1,1,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,1,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,-1,0,1,0,0,0
Celso Jacob,PMDB,RJ,0,0,0,-1,-1,-1,-1,0,-1,-1,1,1,0,1,1,0,-1,1,0,1,0,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,-1,-1,0,-1,0,0,1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,0,-1,1,0,-1,0,0,0,1,0,1,0,1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1,-1,1,1,1,0,0,-1,-1,-1,1,0,1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,1,-1,0,1,1,0,0,1,1,0,0,0,0,1,-1,1,-1,-1,1,1,-1,1,1,1,1,0,-1,0,1,1,-1,0,-1,-1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,-1,0,0,1,1,1,1,-1
Ricardo Arruda,PSC,PR,0,0,0,1,-1,-1,-1,0,-1,-1,1,1,-1,1,-1,0,-1,0,-1,1,0,-1,-1,1,1,0,0,1,-1,0,-1,1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,-1,0,0,0,0,0
Plínio Valério,PSDB,AM,0,0,0,1,1,1,-1,-1,-1,0,-1,1,-1,1,-1,1,1,0,0,0,-1,0,-1,-1,-1,1,0,-1,-1,0,1,0,1,-1,0,-1,1,-1,0,0,-1,-1,1,1,-1,-1,0,-1,-1,1,-1,0,0,0,1,0,0,0,0,0,0,-1,-1,1,1,1,-1,1,1,1,0,0,-1,-1,1,1,0,0,1,-1,1,0,0,0,-1,-1,0,0,1,0,0,1,0,0,0,-1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,1,0,0,1,-1,1,1,1,-1,-1,0,0,1,1,1,-1,-1,1,1,-1,0,1,-1,-1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,-1,1,-1,1,-1,0
Nilmar Ruiz,PEN,TO,0,0,0,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,-1,-1,1,1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,0,1,-1,0,1,1,0,0,0,1,0,0,-1,-1,1,1,0,0,1,-1,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-1,0,1,1,0,0
Ilário Marques,PT,CE,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,-1,-1,1,1,0,-1,1,0,-1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,-1,-1,-1,1,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,1,0,1,-1,1,1,-1,-1,-1,-1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0
Akira Otsubo,PMDB,MS,0,0,0,0,0,1,-1,0,-1,-1,1,1,1,0,0,0,-1,1,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,0,1,0,1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,1,0,1,-1,1,-1,0,0,-1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,-1,0,0,0,1,1,1,-1,1,-1,1,1,1,0,0,-1,-1,-1,1,-1,1,-1,-1,0,0,0,-1,0,0,-1,-1,1,-1,0,1,1,0,-1,1,0,0,0,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1
Goiaciara Cruz,PR,TO,0,0,0,0,0,0,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,1,0,0,1,1,-1,-1,0,-1,-1,-1,-1,1,-1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,1,1,-1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1,0,1,1,0,0
Jorge Boeira,S.Part.,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,0,-1,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,-1,0,0,0,0,0,1,-1,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,1,-1,0,0
Pedro Guerra,PSD,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Marcio Junqueira,PP,RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romário,S.Part.,RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
Urzeni Rocha,PSD,RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,-1,0,0,-1,0,-1,0,0,0,0,0,0,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1
Amir Lando,PMDB,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Almeida Lima,S.Part.,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guilherme Mussi,PP,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,-1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,-1,-1,1,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alexandre Toledo,S.Part.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
Paulo Henrique Lustosa,PP,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0
Luiz Argôlo,SD,BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,1,0,-1,0,0,0,0,0,-1,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Marcos Medrado,SD,BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,1,1,-1,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Genecias Noronha,SD,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1
Ronaldo Fonseca,PROS,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,-1,-1,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,-1,0,1,0,-1,0,0,0,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Carlos Manato,SD,ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,-1,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,-1,-1,1,-1,0,-1,0,0,0,0,0,-1,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Armando Vergílio,SD,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Domingos Dutra,SD,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Dr. Grilo,SD,MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,-1,0,1,-1,0,-1,0,0,0,0,0,0,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0
Wladimir Costa,SD,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Benjamin Maranhão,SD,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,-1,0,-1,0,0,0,0,0,0,1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Silvio Costa,PSC,PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,-1,1,1,-1,-1,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,-1,0,0,-1,0,-1,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
José Augusto Maia,PROS,PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,-1,0,-1,-1,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,1,0,-1,0,0,0,0,0,0,1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Augusto Coutinho,SD,PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
